state_name,district_name,court_name,est_code,cino,reg_year_date,fil_year,updated_type_name,updated_disp_name,disp_nature,dt_regis,date_of_filing,date_of_decision,end_date,decision_year,age_of_case_interval,age_of_case_days
Assam,Goalpara,District and Sessions Judge,ASGA01,ASGA010003442020,2020,2020,Special (POCSO) Case,NA,0,2020-04-21,2020-04-21,NA,2020-03-31,NA,2020-04-21 UTC--2020-03-31 UTC,-21
Assam,Sonitpur,Addl District and Sessions Judge,ASSN07,ASSN070001342020,2020,2020,Special (POCSO) Case,NA,0,2020-04-07,2020-04-07,NA,2020-03-31,NA,2020-04-07 UTC--2020-03-31 UTC,-7
Assam,Sivasagar,District and Sessions Judge Establishment,ASSV01,ASSV010002052020,2020,2020,Special (POCSO) Case,NA,0,2020-04-09,2020-04-09,NA,2020-03-31,NA,2020-04-09 UTC--2020-03-31 UTC,-9
Assam,Sivasagar,District and Sessions Judge Establishment,ASSV01,ASSV010007452014,2014,2014,Special (POCSO) Case,Stayed,49,2014-07-21,2014-07-19,2014-07-19,2014-07-19,2014,2014-07-21 UTC--2014-07-19 UTC,-2
Assam,Jorhat,District and Sessions Judge,ASJR01,ASJR010003362020,2020,2020,Special Case,NA,0,2020-04-01,2020-04-01,NA,2020-03-31,NA,2020-04-01 UTC--2020-03-31 UTC,-1
Assam,Jorhat,District and Sessions Judge,ASJR01,ASJR010003372020,2020,2020,Special Case,NA,0,2020-04-01,2020-04-01,NA,2020-03-31,NA,2020-04-01 UTC--2020-03-31 UTC,-1
Assam,Jorhat,District and Sessions Judge,ASJR01,ASJR010003452020,2020,2020,Special Case,NA,0,2020-04-18,2020-04-18,NA,2020-03-31,NA,2020-04-18 UTC--2020-03-31 UTC,-18
Assam,Jorhat,District and Sessions Judge,ASJR01,ASJR010003462020,2020,2020,Special Case,NA,0,2020-04-21,2020-04-21,NA,2020-03-31,NA,2020-04-21 UTC--2020-03-31 UTC,-21
Assam,Morigaon,"District and Sessions Judge,Morigaon",ASMR01,ASMR010003052020,2020,2020,POCSO Act,NA,0,2020-04-07,2020-04-07,NA,2020-03-31,NA,2020-04-07 UTC--2020-03-31 UTC,-7
Assam,Morigaon,"District and Sessions Judge,Morigaon",ASMR01,ASMR010003062020,2020,2020,POCSO Act,NA,0,2020-04-07,2020-04-07,NA,2020-03-31,NA,2020-04-07 UTC--2020-03-31 UTC,-7
Assam,Morigaon,"District and Sessions Judge,Morigaon",ASMR01,ASMR010003072020,2020,2020,POCSO Act,NA,0,2020-04-07,2020-04-07,NA,2020-03-31,NA,2020-04-07 UTC--2020-03-31 UTC,-7
Assam,Morigaon,"District and Sessions Judge,Morigaon",ASMR01,ASMR010003102020,2020,2020,POCSO Act,NA,0,2020-04-21,2020-04-21,NA,2020-03-31,NA,2020-04-21 UTC--2020-03-31 UTC,-21
Assam,Nagaon,District and Sessions Judge,ASNG01,ASNG010013122016,2016,2016,POCSO Act,Transferred,36,2016-07-25,2016-07-25,2016-07-20,2016-07-20,2016,2016-07-25 UTC--2016-07-20 UTC,-5
Assam,Nagaon,District and Sessions Judge,ASNG01,ASNG010013142016,2016,2016,POCSO Act,Transferred,36,2016-07-25,2016-07-25,2016-07-20,2016-07-20,2016,2016-07-25 UTC--2016-07-20 UTC,-5
