state_name,district_name,updated_type_name,total_cases
Assam,Kokrajhar,Special (POCSO) Case,128
Delhi,West,Sessions Case (SC),1680
Haryana,Kurukshetra,Sessions Case (SC),174
Assam,Karbi Anglong,Special Case,1
Assam,Bongaigaon,Special (POCSO) Case,55
Assam,Karimganj,Sessions Case (SC),1
Assam,Baksa,Sessions Special,67
Assam,Goalpara,Special (POCSO) Case,73
Delhi,South East,Sessions Case (SC),634
Haryana,Gurugram,Sessions Case (SC),482
Haryana,Kaithal,Sessions Case (SC),172
Assam,Kamrup,Sessions Special,211
Assam,Darrang,Special (POCSO) Case,166
Assam,Karbi Anglong,Sessions Case (SC),3
Haryana,Fatehabad,SC-ST Act,10
Assam,Sivasagar,Special Juvenile Case,3
Assam,Bongaigaon,Sessions Case (SC),1
Assam,Udalguri,Special (POCSO) Case,149
Assam,Dhemaji,Sessions Special,10
Haryana,Gurugram,SC-ST Act,10
Assam,Jorhat,Special Case,172
Haryana,Hisar,Sessions Case (SC),281
Assam,Sonitpur,Sessions Case (SC),8
Assam,Sonitpur,POCSO Act,260
Assam,Nagaon,Special (POCSO) Case,19
Assam,Sivasagar,Special (POCSO) Case,406
Assam,Nagaon,POCSO Act,350
Assam,Chirang,Special (POCSO) Case,99
Haryana,Sirsa,Sessions Case (SC),297
Assam,Baksa,Sessions Case (SC),2
Assam,Chirang,Sessions Case (SC),9
Haryana,Panchkula,Sessions Case (SC),109
Assam,Udalguri,Special Case,3
Assam,Karimganj,Sessions Special POCSO,81
Assam,Tinsukia,POCSO Act,182
Assam,Morigaon,POCSO Act,279
Assam,Dhemaji,Special Case,1
Haryana,Ambala,Sessions Case (SC),276
Assam,Dhubri,Sessions Case (SC),1
Assam,Kamrup,Sessions Special POCSO,57
Haryana,Faridabad,Sessions Case (SC),765
Assam,Dhubri,Special Case,170
Assam,Chirang,Sessions Special,1
Assam,Darrang,Special (CCL),9
Assam,Kokrajhar,Sessions Case (SC),1
Haryana,Panipat,Sessions Case (SC),214
Haryana,Sonepat,Sessions Case (SC),351
Assam,Kokrajhar,Sessions Special,5
Assam,Dima Hasao,Sessions Case (SC),11
Delhi,East,Sessions Case (SC),616
Assam,Dhemaji,POCSO Act,87
Assam,Dima Hasao,Special (POCSO) Case,5
Assam,Hailakandi,Special (POCSO) Case,108
Assam,Dibrugarh,POCSO Act,170
Assam,Karbi Anglong,POCSO Act,180
Delhi,North West,Sessions Case (SC),1139
Assam,Bongaigaon,Special Case,32
Assam,Kokrajhar,Special Case,35
Delhi,South,Sessions Case (SC),754
Delhi,South West,Cr. Case,6
Assam,Lakhimpur,Special Case,2
Haryana,Jind,Sessions Case (SC),228
Assam,Morigaon,Sessions Special,56
Assam,Cachar,Special (POCSO) Case,239
Assam,Kamrup Metro,Sessions Case (SC),266
Assam,Dhubri,Special (POCSO) Case,104
Haryana,Rewari,Sessions Case (SC),192
Haryana,Rohtak,Sessions Case (SC),241
Assam,Barpeta,Special (POCSO) Case,486
Assam,Goalpara,Special Case,28
Assam,Dima Hasao,Sessions Special,4
Assam,Dibrugarh,Sessions Case (SC),1
Delhi,New Delhi,Sessions Case (SC),415
Assam,Darrang,Sessions Case (SC),2
Assam,Golaghat,Sessions Case (SC),2
Delhi,North West,Cr. Case,1
Haryana,Yamunanagar,Sessions Case (SC),92
Assam,Lakhimpur,Sessions Case (SC),3
Assam,Tinsukia,Sessions Case (SC),5
Delhi,Shahdara,Sessions Case (SC),641
Assam,Lakhimpur,Sessions Special,126
Assam,Morigaon,Sessions Case (SC),5
Haryana,Jhajjar,Sessions Case (SC),267
Haryana,Fatehabad,Sessions Case (SC),247
Delhi,North,Sessions Case (SC),1111
Assam,Dhubri,Sessions Special,6
Assam,Golaghat,Sessions Special POCSO,312
Delhi,North East,Sessions Case (SC),428
Delhi,South West,Sessions Case (SC),989
Assam,Jorhat,Sessions Case (SC),1
Haryana,Palwal,Sessions Case (SC),186
Assam,Dhemaji,Sessions Case (SC),28
Assam,Barpeta,Sessions Case (SC),7
Assam,Nagaon,Sessions Case (SC),1
Delhi,Central,Sessions Case (SC),951
Haryana,Bhiwani,Sessions Case (SC),37
Assam,Sonitpur,Special (POCSO) Case,183
Assam,Nalbari,Sessions Special,184
Assam,Baksa,Special (POCSO) Case,115
Assam,Kamrup,Sessions Case (SC),3
Delhi,Central,Cr. Case,1
Assam,Cachar,Sessions Case (SC),6
